ContentNormalizedHash,PostId,PostTypeId,ParentId,RootDomain,CompleteDomain,Url
-2343943253355592725,30474460,2,30474360,codepen.io,codepen.io,http://codepen.io/philhoyt/pen/ujHzd
-2343943253355592725,42950083,1,42950083,codepen.io,codepen.io,http://codepen.io/Sidney-Dev/pen/jBzJLr
-2343943253355592725,32400945,2,32400392,codepen.io,codepen.io,http://codepen.io/philhoyt/pen/ujHzd
-2343943253355592725,35011383,2,35011048,codepen.io,codepen.io,http://codepen.io/philhoyt/pen/ujHzd
273883331500495339,33486880,2,33486653,codepen.io,codepen.io,http://codepen.io/makshh/pen/EZjpmB
826442306771237358,33095282,2,33095172,codepen.io,codepen.io,http://codepen.io/jgx/pen/wiIGc
826442306771237358,25656718,2,17584702,codepen.io,codepen.io,http://codepen.io/jgx/pen/wiIGc
-3835755800027651598,42144095,1,42144095,codepen.io,codepen.io,http://codepen.io/hi-im-si/pen/DHoup
-3835755800027651598,41629309,1,41629309,codepen.io,codepen.io,http://codepen.io/danielgroen/pen/VeRPOq
-3835755800027651598,48092116,1,48092116,codepen.io,codepen.io,https://codepen.io/swaranan/pen/xpLBPr
-3835755800027651598,51275010,1,51275010,codepen.io,codepen.io,https://codepen.io/hi-im-si/embed/DHoup?height=265&theme-id=0&slug-hash=DHoup&default-tab=js%2Cresult&user=hi-im-si&embed-version=2
-3835755800027651598,51809806,1,51809806,codepen.io,codepen.io,https://codepen.io/hi-im-si/pen/DHoup
-2297944269874936844,50386418,2,50386196,codepen.io,codepen.io,https://codepen.io/miladfm/pen/MGPdOL
-823144835203434249,42059182,1,42059182,codepen.io,codepen.io,http://codepen.io/CookieMonsta/pen/LxrJme
-5154293555401981576,5677872,2,5677794,php.net,de.php.net,http://de.php.net/manual/en/simplexml.examples-basic.php
-1887973469034586451,16832182,2,16790986,co.in,dwij.co.in,http://dwij.co.in/ckeditor-ckfinder-integration-using-php/
-1887973469034586451,16842039,2,3632177,co.in,dwij.co.in,http://dwij.co.in/ckeditor-ckfinder-integration-using-php/
