ContentNormalizedHash,PostId,PostTypeId,ParentId,LinkedPostId,LinkedPostTypeId
-5185803585070699004,43329797,1,43329797,38623873,2
6525000990111830329,12658949,1,12658949,8817031,1
7654547869333484883,47720965,1,47720965,47719686,1
3250239643881410073,26816261,1,26816261,2384167,1
-581702261664098625,49622789,1,49622789,2675323,1
2341106436650228892,5059845,1,5059845,5050314,1
3154848958467416257,9910533,1,9910533,9907328,1
-6020178014902380097,48577541,1,48577541,48457056,1
8629313849457333643,48577541,1,48577541,48457056,1
-838615875095582061,43400453,1,43400453,18182419,1
2540449521372590372,42024453,1,42024453,28678151,1
-7386559318578437979,44516613,1,44516613,18946479,1
-7386559318578437979,44516613,1,44516613,44505042,1
-213542995919841184,42944773,1,42944773,28705325,2
4713856177706801172,40979973,1,40979973,7165395,1
-5017460958999554177,39605765,1,39605765,1674689,2
-1982573219663970008,40720901,1,40720901,31249980,1
-3081557933920050145,45439493,1,45439493,21971701,1
-3081557933920050145,45439493,1,45439493,21971701,1
6441689421678003240,33971717,1,33971717,30162174,2
-8213074337544864338,20343045,1,20343045,6263563,1
-8213074337544864338,20343045,1,20343045,5349945,1
-8213074337544864338,20343045,1,20343045,4036575,1
8719118885635443590,19688453,1,19688453,7700226,1
-4892677610117523466,45118213,1,45118213,44890968,2
-7956976125434339442,11828485,1,11828485,11828125,1
-7956976125434339442,11828485,1,11828485,1085801,1
4710517518590047171,38239749,1,38239749,15792666,1
8341807210509572643,41647621,1,41647621,31012881,1
-7979937388341367240,8552197,1,8552197,8521728,1
-732951651991743557,11894533,1,11894533,11879521,1
83174912657288833,11894533,1,11894533,11879521,1
-1461818096851530275,6717701,1,6717701,4316314,1
-3019869640219180835,15696133,1,15696133,2421339,1
-2599890280806634834,37257733,1,37257733,37174996,2
5416187082836293754,51741701,1,51741701,51741146,2
1051900528034340992,51741701,1,51741701,51741146,2
3076463118069584468,16679941,1,16679941,8635769,1
-4031953781258104649,15305221,1,15305221,10568103,1
6292381475887594572,37194501,1,37194501,24195432,1
-9073817617200959350,19565573,1,19565573,13979172,1
-9073817617200959350,19565573,1,19565573,19551424,2
4557012389097419571,21269509,1,21269509,10431239,1
7427196255861134044,21269509,1,21269509,10431239,1
6509344515071153586,21269509,1,21269509,10431239,1
-4586165710900576376,19303685,1,19303685,18895418,1
-4586165710900576376,19303685,1,19303685,18895418,1
4596803319277240008,45126149,1,45126149,41287648,1
-305868968788297430,17339397,1,17339397,2737073,1
6840458004597779531,29991941,1,29991941,19596384,1
8259397952774970160,9153541,1,9153541,2873506,1
-3800637875730696625,48671749,1,48671749,47230566,1
-2090147582810422648,26588933,1,26588933,26577384,2
4478159433951153808,26458373,1,26458373,16507040,1
718255149036685696,45530629,1,45530629,35593133,2
-493467122622477671,33604869,1,33604869,11169920,2
-191996829462902904,27969541,1,27969541,7669240,1
5815707447664756360,44419845,1,44419845,41362842,1
-7020850783109737708,44748549,1,44748549,44729743,1
2988342119146429924,8114693,1,8114693,3556351,1
6145165836040185725,41736197,1,41736197,15210885,1
-4433223203175414482,11656197,1,11656197,10082163,1
6205348291595481956,35448069,1,35448069,31301810,1
4406707085131205210,17426181,1,17426181,5136898,1
4555801772498633803,31844101,1,31844101,31837544,1
7349524726939933886,7269125,1,7269125,5007369,1
7349524726939933886,7269125,1,7269125,5007369,1
3100360950781887894,44035077,1,44035077,16031149,1
-5900400656084628092,25554181,1,25554181,25541283,1
-3097687264309937800,25554181,1,25554181,25541283,1
8961598116345330779,10743301,1,10743301,2942636,1
-8011197696768474631,45215493,1,45215493,45006501,1
-4810190735234876816,23198213,1,23198213,11380313,1
4868597549705666100,42467077,1,42467077,42455270,1
-3589481019889462736,42467077,1,42467077,42455270,1
4868597549705666100,42467077,1,42467077,31915957,1
-3589481019889462736,42467077,1,42467077,31915957,1
1140335058251155185,48234245,1,48234245,5756218,1
-2367460088121222170,23135238,1,23135238,2711858,1
-3943476142838829852,41354246,1,41354246,22419453,2
3372007407234666386,8193030,1,8193030,3198651,1
2405573668098670421,46335494,1,46335494,46315097,2
7578458543343525835,46664454,1,46664454,46647462,2
-7898147802605556745,29690886,1,29690886,24826459,1
5183212672364247953,25042438,1,25042438,19490852,1
-2817560727098248180,40379398,1,40379398,19651315,1
