sample;metric;threshold;numberOfTextPostsWithThisMetric;runtimeTextTotal;truePositivesText;trueNegativesText;falsePositivesText;falseNegativesText;numberOfCodePostsWithThisMetric;runtimeCodeTotal;truePositivesCode;trueNegativesCode;falsePositivesCode;falseNegativesCode
PostId_VersionCount_SO_17-06_sample_100_1;fourGramDiceNormalizedPadding;0.5;97;20537765;251;468;3;9;97;29142015;147;233;2;3
PostId_VersionCount_SO_17-06_sample_100_1;manhattanTwoShingleNormalized;0.5;92;25169952;229;436;3;8;96;32649439;142;231;2;5
PostId_VersionCount_SO_17-06_sample_100_1;twoShingleDiceNormalized;0.6;92;21072858;220;436;3;17;96;36702725;141;231;2;6
PostId_VersionCount_SO_17-06_sample_100_1;winnowingTwoGramLongestCommonSubsequenceNormalized;0.9;97;37970248;198;470;1;62;97;346214657;134;234;1;16
PostId_VersionCount_SO_17-06_sample_100_1;twoGramDiceNormalizedPadding;0.4;97;17732608;257;467;4;3;97;25873051;149;232;3;1
PostId_VersionCount_SO_17-06_sample_100_1;tokenDiceNormalized;0.6;97;20810454;246;468;3;14;97;28215066;147;233;2;3
PostId_VersionCount_SO_17-06_sample_100_1;twoShingleOverlapNormalized;0.3;92;21186964;231;434;5;6;96;30292350;146;230;3;1
PostId_VersionCount_SO_17-06_sample_100_1;fourGramDice;0.6;97;16159077;246;468;3;14;97;23533010;147;233;2;3
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFourGramJaccard;0.9;97;9295928;184;470;1;76;97;16838474;133;234;1;17
PostId_VersionCount_SO_17-06_sample_100_1;cosineThreeShingleNormalizedNormalizedTermFrequency;0.3;84;22260354;196;326;3;5;94;34636100;141;222;2;2
PostId_VersionCount_SO_17-06_sample_100_1;winnowingTwoGramOptimalAlignmentNormalized;0.4;97;53432795;248;468;3;12;97;133112131;146;233;2;4
PostId_VersionCount_SO_17-06_sample_100_1;fourGramJaccardNormalized;0.6;97;22187476;234;470;1;26;97;30837606;144;233;2;6
PostId_VersionCount_SO_17-06_sample_100_1;cosineTokenNormalizedNormalizedTermFrequency;0.7;97;13558284;247;468;3;13;97;14049011;144;233;2;6
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFourGramOptimalAlignmentNormalized;0.9;97;26182845;186;470;1;74;97;178458185;131;234;1;19
PostId_VersionCount_SO_17-06_sample_100_1;manhattanThreeShingleNormalized;0.9;84;22024434;146;328;1;55;94;34212112;124;223;1;19
